iter	Passed	Remaining
401	13933	20726
402	13963	20686
403	13997	20650
404	14027	20608
405	14059	20570
406	14103	20549
407	14138	20514
408	14178	20488
409	14220	20463
410	14253	20426
411	14290	20395
412	14320	20354
413	14350	20313
414	14392	20288
415	14424	20250
416	14460	20217
417	14488	20173
418	14520	20134
419	14552	20095
420	14590	20065
421	14619	20023
422	14651	19985
423	14683	19947
424	14715	19909
425	14759	19887
426	14789	19846
427	14814	19799
428	14847	19761
429	14878	19722
430	14911	19685
431	14940	19643
432	14980	19617
433	15021	19590
434	15054	19553
435	15124	19564
436	15184	19562
437	15244	19560
438	15299	19551
439	15359	19548
440	15444	19576
441	15525	19600
442	15577	19585
443	15630	19572
444	15680	19556
445	15741	19553
446	15786	19530
447	15833	19509
448	15876	19483
449	15923	19461
450	15972	19442
451	16003	19402
452	16032	19359
453	16070	19326
454	16104	19290
455	16137	19251
456	16166	19209
457	16215	19189
458	16264	19170
459	16296	19130
460	16330	19093
461	16360	19052
462	16396	19017
463	16447	18999
464	16491	18974
465	16522	18933
466	16556	18896
467	16591	18860
468	16624	18821
469	16658	18785
470	16696	18752
471	16731	18716
472	16759	18673
473	16795	18638
474	16829	18600
475	16859	18560
476	16888	18517
477	16925	18483
478	16956	18443
479	16988	18403
480	17025	18370
481	17056	18329
482	17087	18290
483	17118	18250
484	17149	18210
485	17197	18188
486	17237	18157
487	17285	18135
488	17325	18104
489	17352	18061
490	17380	18017
491	17409	17976
492	17439	17934
493	17468	17892
494	17495	17848
495	17536	17819
496	17566	17778
497	17596	17737
498	17624	17695
499	17654	17654
500	17682	17612
501	17712	17570
502	17738	17527
503	17767	17485
504	17797	17445
505	17827	17404
506	17860	17367
507	17891	17327
508	17921	17287
509	17947	17243
510	17980	17205
511	18007	17162
512	18033	17119
513	18062	17078
514	18088	17034
515	18114	16991
516	18149	16955
517	18184	16921
518	18227	16892
519	18257	16853
520	18302	16827
521	18335	16789
522	18365	16750
523	18397	16712
524	18430	16675
525	18467	16642
526	18500	16604
527	18538	16572
528	18569	16533
529	18597	16492
530	18631	16455
531	18663	16418
532	18693	16378
533	18733	16348
534	18767	16312
535	18803	16277
536	18832	16237
537	18866	16201
538	18902	16166
539	18940	16134
540	18974	16098
541	19002	16057
542	19034	16019
543	19073	15988
544	19099	15945
545	19135	15911
546	19170	15875
547	19204	15840
548	19249	15813
549	19282	15776
550	19312	15737
551	19351	15705
552	19382	15667
